STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000666, -0.000062, -0.000142, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000666, -0.000122, 0.000072, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000666, -0.000080, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000613, -0.000062, 0.000131, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000507, -0.000050, 0.000134, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000402, -0.000066, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000402, -0.000051, -0.000207, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000402, -0.000042, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000613, -0.000057, -0.000567, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000666, -0.000117, 0.000225, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000666, -0.000084, 0.000104, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000507, -0.000051, 0.000392, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000402, -0.000040, -0.000134, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000040, 0.000080, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000296, -0.000038, -0.000417, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000296, -0.000031, 0.000125, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000023, 0.000142, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000043, -0.000075, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000031, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000024, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000024, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000042, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000029, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000032, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000016, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000043, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000031, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000024, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000024, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000040, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000031, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000025, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000023, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000043, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000031, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000024, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000024, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000040, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000031, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000026, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000023, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000045, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000029, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000024, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000024, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000041, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000031, 0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, -0.000000, -0.000243, -0.000025, 0.000000, 0.000000
