STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000443, -0.000067, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000338, -0.000036, 0.000250, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000338, -0.000031, -0.000290, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000232, -0.000020, 0.000313, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000232, -0.000033, -0.000185, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000232, -0.000026, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000232, -0.000022, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000232, -0.000018, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000232, -0.000035, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000232, -0.000024, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000232, -0.000021, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000232, -0.000020, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000232, -0.000033, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000126, -0.000014, 0.000239, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000126, -0.000012, -0.000277, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000126, -0.000010, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000126, -0.000018, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000126, -0.000013, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000126, -0.000011, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000126, -0.000011, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000074, -0.000011, 0.000092, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000074, -0.000008, -0.000120, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000074, -0.000007, -0.000000, 0.000000
STEERING (cc, dc, e, i, d, s): 0.000000, 0.000000, -0.000074, -0.000006, -0.000000, 0.000000
