Time [s], Analyzer Name, Decoded Protocol Result
0.005167833333333,SENT (SAE J2716),Sync pulse: 
0.005257458333333,SENT (SAE J2716),Status nibble: 0
0.005276625000000,SENT (SAE J2716),Fast channel data: 3
0.005300625000000,SENT (SAE J2716),Fast channel data: 4
0.005326250000000,SENT (SAE J2716),Fast channel data: 14
0.005367833333333,SENT (SAE J2716),Fast channel data: 11
0.005404625000000,SENT (SAE J2716),Fast channel data: 15
0.005447875000000,SENT (SAE J2716),Fast channel data: 14
0.005489458333333,SENT (SAE J2716),CRC data: 0
0.005508666666667,SENT (SAE J2716),Pause pulse length: 80
0.005635958333333,SENT (SAE J2716),Sync pulse: 
0.005725583333333,SENT (SAE J2716),Status nibble: 0
0.005744750000000,SENT (SAE J2716),Fast channel data: 3
0.005768791666667,SENT (SAE J2716),Fast channel data: 5
0.005795958333333,SENT (SAE J2716),Fast channel data: 1
0.005816791666667,SENT (SAE J2716),Fast channel data: 3
0.005840791666667,SENT (SAE J2716),Fast channel data: 0
0.005859958333333,SENT (SAE J2716),Fast channel data: 15
0.005903208333333,SENT (SAE J2716),CRC data: 4
0.005928791666667,SENT (SAE J2716),Pause pulse length: 111
0.006104125000000,SENT (SAE J2716),Sync pulse: 
0.006193708333333,SENT (SAE J2716),Status nibble: 0
0.006212916666667,SENT (SAE J2716),Fast channel data: 3
0.006236875000000,SENT (SAE J2716),Fast channel data: 5
0.006264125000000,SENT (SAE J2716),Fast channel data: 5
0.006291291666667,SENT (SAE J2716),Fast channel data: 12
0.006329708333333,SENT (SAE J2716),Fast channel data: 0
0.006348916666667,SENT (SAE J2716),Fast channel data: 15
0.006392083333333,SENT (SAE J2716),CRC data: 3
0.006416125000000,SENT (SAE J2716),Pause pulse length: 99
0.006572250000000,SENT (SAE J2716),Sync pulse: 
0.006661833333333,SENT (SAE J2716),Status nibble: 4
0.006687458333333,SENT (SAE J2716),Fast channel data: 3
0.006711416666667,SENT (SAE J2716),Fast channel data: 5
0.006738625000000,SENT (SAE J2716),Fast channel data: 9
0.006772250000000,SENT (SAE J2716),Fast channel data: 4
0.006797875000000,SENT (SAE J2716),Fast channel data: 1
0.006818625000000,SENT (SAE J2716),Fast channel data: 15
0.006861875000000,SENT (SAE J2716),CRC data: 9
0.006895458333333,SENT (SAE J2716),Pause pulse length: 92
0.007040375000000,SENT (SAE J2716),Sync pulse: 
0.007129958333333,SENT (SAE J2716),Status nibble: 0
0.007149125000000,SENT (SAE J2716),Fast channel data: 3
0.007173125000000,SENT (SAE J2716),Fast channel data: 5
0.007200375000000,SENT (SAE J2716),Fast channel data: 12
0.007238750000000,SENT (SAE J2716),Fast channel data: 12
0.007277125000000,SENT (SAE J2716),Fast channel data: 1
0.007297916666667,SENT (SAE J2716),Fast channel data: 15
0.007341166666667,SENT (SAE J2716),CRC data: 2
0.007363541666667,SENT (SAE J2716),Pause pulse length: 92
0.007508458333333,SENT (SAE J2716),Sync pulse: 
0.007598083333333,SENT (SAE J2716),Status nibble: 8
0.007630041666667,SENT (SAE J2716),Fast channel data: 3
0.007654041666667,SENT (SAE J2716),Fast channel data: 6
0.007682833333333,SENT (SAE J2716),Fast channel data: 0
0.007702000000000,SENT (SAE J2716),Fast channel data: 5
0.007729208333333,SENT (SAE J2716),Fast channel data: 2
0.007751625000000,SENT (SAE J2716),Fast channel data: 15
0.007794833333333,SENT (SAE J2716),CRC data: 4
0.007820416666667,SENT (SAE J2716),Pause pulse length: 99
0.007976541666667,SENT (SAE J2716),Sync pulse: 
0.008066125000000,SENT (SAE J2716),Status nibble: 4
0.008091708333333,SENT (SAE J2716),Fast channel data: 3
0.008115708333333,SENT (SAE J2716),Fast channel data: 6
0.008144500000000,SENT (SAE J2716),Fast channel data: 4
0.008170083333333,SENT (SAE J2716),Fast channel data: 13
0.008210125000000,SENT (SAE J2716),Fast channel data: 2
0.008232500000000,SENT (SAE J2716),Fast channel data: 15
0.008275666666667,SENT (SAE J2716),CRC data: 11
0.008312500000000,SENT (SAE J2716),Pause pulse length: 83
0.008444625000000,SENT (SAE J2716),Sync pulse: 
0.008534166666667,SENT (SAE J2716),Status nibble: 0
0.008553333333333,SENT (SAE J2716),Fast channel data: 3
0.008577333333333,SENT (SAE J2716),Fast channel data: 6
0.008606166666667,SENT (SAE J2716),Fast channel data: 7
0.008636583333333,SENT (SAE J2716),Fast channel data: 6
0.008665375000000,SENT (SAE J2716),Fast channel data: 3
0.008689375000000,SENT (SAE J2716),Fast channel data: 15
0.008732541666667,SENT (SAE J2716),CRC data: 14
0.008774166666667,SENT (SAE J2716),Pause pulse length: 87
0.008912625000000,SENT (SAE J2716),Sync pulse: 
0.009002291666667,SENT (SAE J2716),Status nibble: 0
0.009021500000000,SENT (SAE J2716),Fast channel data: 3
0.009045500000000,SENT (SAE J2716),Fast channel data: 6
0.009074333333333,SENT (SAE J2716),Fast channel data: 11
0.009111083333333,SENT (SAE J2716),Fast channel data: 14
0.009152750000000,SENT (SAE J2716),Fast channel data: 3
0.009176708333333,SENT (SAE J2716),Fast channel data: 15
0.009219916666667,SENT (SAE J2716),CRC data: 6
0.009248666666667,SENT (SAE J2716),Pause pulse length: 83
0.009380791666667,SENT (SAE J2716),Sync pulse: 
0.009470416666667,SENT (SAE J2716),Status nibble: 0
0.009489625000000,SENT (SAE J2716),Fast channel data: 3
0.009513625000000,SENT (SAE J2716),Fast channel data: 6
0.009542416666667,SENT (SAE J2716),Fast channel data: 15
0.009585625000000,SENT (SAE J2716),Fast channel data: 7
0.009616041666667,SENT (SAE J2716),Fast channel data: 4
0.009641625000000,SENT (SAE J2716),Fast channel data: 15
0.009684791666667,SENT (SAE J2716),CRC data: 0
0.009704000000000,SENT (SAE J2716),Pause pulse length: 92
0.009848916666667,SENT (SAE J2716),Sync pulse: 
0.009938458333333,SENT (SAE J2716),Status nibble: 4
0.009964125000000,SENT (SAE J2716),Fast channel data: 3
0.009988083333333,SENT (SAE J2716),Fast channel data: 7
0.010018583333333,SENT (SAE J2716),Fast channel data: 3
0.010042458333333,SENT (SAE J2716),Fast channel data: 15
0.010085708333333,SENT (SAE J2716),Fast channel data: 4
0.010111250000000,SENT (SAE J2716),Fast channel data: 15
0.010154458333333,SENT (SAE J2716),CRC data: 6
0.010183208333333,SENT (SAE J2716),Pause pulse length: 84
0.010316958333333,SENT (SAE J2716),Sync pulse: 
0.010406541666667,SENT (SAE J2716),Status nibble: 4
0.010432125000000,SENT (SAE J2716),Fast channel data: 3
0.010456208333333,SENT (SAE J2716),Fast channel data: 7
0.010486583333333,SENT (SAE J2716),Fast channel data: 6
0.010515333333333,SENT (SAE J2716),Fast channel data: 7
0.010545708333333,SENT (SAE J2716),Fast channel data: 5
0.010572958333333,SENT (SAE J2716),Fast channel data: 15
0.010616083333333,SENT (SAE J2716),CRC data: 15
0.010659333333333,SENT (SAE J2716),Pause pulse length: 79
0.010785083333333,SENT (SAE J2716),Sync pulse: 
0.010874625000000,SENT (SAE J2716),Status nibble: 0
0.010893833333333,SENT (SAE J2716),Fast channel data: 3
0.010917833333333,SENT (SAE J2716),Fast channel data: 7
0.010948291666667,SENT (SAE J2716),Fast channel data: 10
0.010983458333333,SENT (SAE J2716),Fast channel data: 0
0.011002666666667,SENT (SAE J2716),Fast channel data: 6
0.011031458333333,SENT (SAE J2716),Fast channel data: 15
0.011074666666667,SENT (SAE J2716),CRC data: 11
0.011111458333333,SENT (SAE J2716),Pause pulse length: 90
0.011253166666667,SENT (SAE J2716),Sync pulse: 
0.011342791666667,SENT (SAE J2716),Status nibble: 4
0.011368375000000,SENT (SAE J2716),Fast channel data: 3
0.011392333333333,SENT (SAE J2716),Fast channel data: 7
0.011422750000000,SENT (SAE J2716),Fast channel data: 14
0.011464375000000,SENT (SAE J2716),Fast channel data: 8
0.011496375000000,SENT (SAE J2716),Fast channel data: 6
0.011525166666667,SENT (SAE J2716),Fast channel data: 15
0.011568333333333,SENT (SAE J2716),CRC data: 4
0.011594000000000,SENT (SAE J2716),Pause pulse length: 80
0.011721291666667,SENT (SAE J2716),Sync pulse: 
0.011810875000000,SENT (SAE J2716),Status nibble: 0
0.011830083333333,SENT (SAE J2716),Fast channel data: 3
0.011854083333333,SENT (SAE J2716),Fast channel data: 8
0.011886083333333,SENT (SAE J2716),Fast channel data: 2
0.011908500000000,SENT (SAE J2716),Fast channel data: 0
0.011927666666667,SENT (SAE J2716),Fast channel data: 7
0.011958083333333,SENT (SAE J2716),Fast channel data: 15
0.012001291666667,SENT (SAE J2716),CRC data: 7
0.012031666666667,SENT (SAE J2716),Pause pulse length: 100
0.012189458333333,SENT (SAE J2716),Sync pulse: 
0.012279041666667,SENT (SAE J2716),Status nibble: 4
0.012304666666667,SENT (SAE J2716),Fast channel data: 3
0.012328666666667,SENT (SAE J2716),Fast channel data: 8
0.012360625000000,SENT (SAE J2716),Fast channel data: 5
0.012387875000000,SENT (SAE J2716),Fast channel data: 9
0.012421500000000,SENT (SAE J2716),Fast channel data: 7
0.012451875000000,SENT (SAE J2716),Fast channel data: 15
0.012495125000000,SENT (SAE J2716),CRC data: 3
0.012519083333333,SENT (SAE J2716),Pause pulse length: 88
0.012657625000000,SENT (SAE J2716),Sync pulse: 
0.012747250000000,SENT (SAE J2716),Status nibble: 4
0.012772833333333,SENT (SAE J2716),Fast channel data: 3
0.012796833333333,SENT (SAE J2716),Fast channel data: 8
0.012828833333333,SENT (SAE J2716),Fast channel data: 9
0.012862458333333,SENT (SAE J2716),Fast channel data: 1
0.012883250000000,SENT (SAE J2716),Fast channel data: 8
0.012915250000000,SENT (SAE J2716),Fast channel data: 15
0.012958458333333,SENT (SAE J2716),CRC data: 8
0.012990458333333,SENT (SAE J2716),Pause pulse length: 85
0.013125791666667,SENT (SAE J2716),Sync pulse: 
