Time [s], Analyzer Name, Decoded Protocol Result
0.005243250000000,SENT (SAE J2716),Sync pulse: 
0.005332833333333,SENT (SAE J2716),Status nibble: 0
0.005352000000000,SENT (SAE J2716),Fast channel data: 2
0.005374416666667,SENT (SAE J2716),Fast channel data: 13
0.005414416666667,SENT (SAE J2716),Fast channel data: 7
0.005444791666667,SENT (SAE J2716),Fast channel data: 14
0.005486375000000,SENT (SAE J2716),Fast channel data: 10
0.005521541666667,SENT (SAE J2716),Fast channel data: 13
0.005561583333333,SENT (SAE J2716),CRC data: 7
0.005591958333333,SENT (SAE J2716),Pause pulse length: 75
0.005711250000000,SENT (SAE J2716),Sync pulse: 
0.005800791666667,SENT (SAE J2716),Status nibble: 4
0.005826416666667,SENT (SAE J2716),Fast channel data: 2
0.005848791666667,SENT (SAE J2716),Fast channel data: 13
0.005888791666667,SENT (SAE J2716),Fast channel data: 8
0.005920791666667,SENT (SAE J2716),Fast channel data: 14
0.005962375000000,SENT (SAE J2716),Fast channel data: 10
0.005997541666667,SENT (SAE J2716),Fast channel data: 13
0.006037583333333,SENT (SAE J2716),CRC data: 1
0.006058333333333,SENT (SAE J2716),Pause pulse length: 76
0.006179208333333,SENT (SAE J2716),Sync pulse: 
0.006268791666667,SENT (SAE J2716),Status nibble: 0
0.006287958333333,SENT (SAE J2716),Fast channel data: 2
0.006310375000000,SENT (SAE J2716),Fast channel data: 13
0.006350375000000,SENT (SAE J2716),Fast channel data: 7
0.006380750000000,SENT (SAE J2716),Fast channel data: 14
0.006422333333333,SENT (SAE J2716),Fast channel data: 10
0.006457541666667,SENT (SAE J2716),Fast channel data: 13
0.006497541666667,SENT (SAE J2716),CRC data: 7
0.006527916666667,SENT (SAE J2716),Pause pulse length: 75
0.006647250000000,SENT (SAE J2716),Sync pulse: 
0.006736791666667,SENT (SAE J2716),Status nibble: 0
0.006756000000000,SENT (SAE J2716),Fast channel data: 2
0.006778375000000,SENT (SAE J2716),Fast channel data: 13
0.006818416666667,SENT (SAE J2716),Fast channel data: 7
0.006848791666667,SENT (SAE J2716),Fast channel data: 14
0.006890375000000,SENT (SAE J2716),Fast channel data: 10
0.006925583333333,SENT (SAE J2716),Fast channel data: 13
0.006965541666667,SENT (SAE J2716),CRC data: 7
0.006995958333333,SENT (SAE J2716),Pause pulse length: 75
0.007115250000000,SENT (SAE J2716),Sync pulse: 
0.007204833333333,SENT (SAE J2716),Status nibble: 4
0.007230416666667,SENT (SAE J2716),Fast channel data: 2
0.007252833333333,SENT (SAE J2716),Fast channel data: 13
0.007292833333333,SENT (SAE J2716),Fast channel data: 7
0.007323208333333,SENT (SAE J2716),Fast channel data: 14
0.007364791666667,SENT (SAE J2716),Fast channel data: 10
0.007399958333333,SENT (SAE J2716),Fast channel data: 13
0.007439958333333,SENT (SAE J2716),CRC data: 7
0.007470333333333,SENT (SAE J2716),Pause pulse length: 71
0.007583208333333,SENT (SAE J2716),Sync pulse: 
0.007672833333333,SENT (SAE J2716),Status nibble: 8
0.007704791666667,SENT (SAE J2716),Fast channel data: 2
0.007727208333333,SENT (SAE J2716),Fast channel data: 13
0.007767208333333,SENT (SAE J2716),Fast channel data: 7
0.007797583333333,SENT (SAE J2716),Fast channel data: 14
0.007839166666667,SENT (SAE J2716),Fast channel data: 10
0.007874333333333,SENT (SAE J2716),Fast channel data: 13
0.007914333333333,SENT (SAE J2716),CRC data: 7
0.007944708333333,SENT (SAE J2716),Pause pulse length: 67
0.008051208333333,SENT (SAE J2716),Sync pulse: 
0.008140791666667,SENT (SAE J2716),Status nibble: 0
0.008159958333333,SENT (SAE J2716),Fast channel data: 2
0.008182375000000,SENT (SAE J2716),Fast channel data: 13
0.008222375000000,SENT (SAE J2716),Fast channel data: 7
0.008252750000000,SENT (SAE J2716),Fast channel data: 14
0.008294333333333,SENT (SAE J2716),Fast channel data: 10
0.008329541666667,SENT (SAE J2716),Fast channel data: 13
0.008369541666667,SENT (SAE J2716),CRC data: 7
0.008399916666667,SENT (SAE J2716),Pause pulse length: 75
0.008519208333333,SENT (SAE J2716),Sync pulse: 
0.008608750000000,SENT (SAE J2716),Status nibble: 0
0.008627958333333,SENT (SAE J2716),Fast channel data: 2
0.008650375000000,SENT (SAE J2716),Fast channel data: 13
0.008690333333333,SENT (SAE J2716),Fast channel data: 7
0.008720750000000,SENT (SAE J2716),Fast channel data: 14
0.008762333333333,SENT (SAE J2716),Fast channel data: 10
0.008797500000000,SENT (SAE J2716),Fast channel data: 13
0.008837500000000,SENT (SAE J2716),CRC data: 7
0.008867916666667,SENT (SAE J2716),Pause pulse length: 75
0.008987166666667,SENT (SAE J2716),Sync pulse: 
0.009076750000000,SENT (SAE J2716),Status nibble: 4
0.009102333333333,SENT (SAE J2716),Fast channel data: 2
0.009124750000000,SENT (SAE J2716),Fast channel data: 13
0.009164750000000,SENT (SAE J2716),Fast channel data: 7
0.009195125000000,SENT (SAE J2716),Fast channel data: 14
0.009236750000000,SENT (SAE J2716),Fast channel data: 10
0.009271916666667,SENT (SAE J2716),Fast channel data: 13
0.009311916666667,SENT (SAE J2716),CRC data: 7
0.009342291666667,SENT (SAE J2716),Pause pulse length: 71
0.009455208333333,SENT (SAE J2716),Sync pulse: 
0.009544791666667,SENT (SAE J2716),Status nibble: 0
0.009563958333333,SENT (SAE J2716),Fast channel data: 2
0.009586375000000,SENT (SAE J2716),Fast channel data: 13
0.009626375000000,SENT (SAE J2716),Fast channel data: 7
