x, y, theta, v, timestamp, left_img, right_img
7757729.518,-363562.573,0.651,0.001,1473187918.6068599224090576171875000,1473187918.6068599224090576171875000.bb08.l.png,1473187918.6068599224090576171875000.bb08.r.png
7757729.512,-363562.572,0.651,0.001,1473187918.6693658828735351562500000,1473187918.6693658828735351562500000.bb08.l.png,1473187918.6693658828735351562500000.bb08.r.png
7757729.513,-363562.572,0.651,0.001,1473187918.7319641113281250000000000,1473187918.7319641113281250000000000.bb08.l.png,1473187918.7319641113281250000000000.bb08.r.png
7757729.513,-363562.568,0.651,0.001,1473187918.7974889278411865234375000,1473187918.7974889278411865234375000.bb08.l.png,1473187918.7974889278411865234375000.bb08.r.png
7757729.522,-363562.572,0.651,0.001,1473187918.8575770854949951171875000,1473187918.8575770854949951171875000.bb08.l.png,1473187918.8575770854949951171875000.bb08.r.png
7757729.515,-363562.570,0.651,0.001,1473187918.9219670295715332031250000,1473187918.9219670295715332031250000.bb08.l.png,1473187918.9219670295715332031250000.bb08.r.png
7757729.508,-363562.584,0.651,0.001,1473187918.9833939075469970703125000,1473187918.9833939075469970703125000.bb08.l.png,1473187918.9833939075469970703125000.bb08.r.png
7757729.503,-363562.577,0.651,0.001,1473187919.0456469058990478515625000,1473187919.0456469058990478515625000.bb08.l.png,1473187919.0456469058990478515625000.bb08.r.png
7757729.505,-363562.583,0.651,0.001,1473187919.1740419864654541015625000,1473187919.1740419864654541015625000.bb08.l.png,1473187919.1740419864654541015625000.bb08.r.png
7757729.503,-363562.581,0.651,0.001,1473187919.2342460155487060546875000,1473187919.2342460155487060546875000.bb08.l.png,1473187919.2342460155487060546875000.bb08.r.png
7757729.503,-363562.580,0.651,0.001,1473187919.3004479408264160156250000,1473187919.3004479408264160156250000.bb08.l.png,1473187919.3004479408264160156250000.bb08.r.png
7757729.511,-363562.575,0.651,0.001,1473187919.3644359111785888671875000,1473187919.3644359111785888671875000.bb08.l.png,1473187919.3644359111785888671875000.bb08.r.png
7757729.512,-363562.575,0.651,0.001,1473187919.4271569252014160156250000,1473187919.4271569252014160156250000.bb08.l.png,1473187919.4271569252014160156250000.bb08.r.png
7757729.520,-363562.576,0.651,0.001,1473187919.4898478984832763671875000,1473187919.4898478984832763671875000.bb08.l.png,1473187919.4898478984832763671875000.bb08.r.png
7757729.522,-363562.576,0.651,0.001,1473187919.5521919727325439453125000,1473187919.5521919727325439453125000.bb08.l.png,1473187919.5521919727325439453125000.bb08.r.png
7757729.529,-363562.579,0.651,0.001,1473187919.6145300865173339843750000,1473187919.6145300865173339843750000.bb08.l.png,1473187919.6145300865173339843750000.bb08.r.png
7757729.523,-363562.576,0.651,0.001,1473187919.6772348880767822265625000,1473187919.6772348880767822265625000.bb08.l.png,1473187919.6772348880767822265625000.bb08.r.png
