x, y, theta, v, timestamp, left_img, right_img
7757730.261,-363561.939,0.656,1.964,1472823534.4041290283203125000000000,1472823534.4041290283203125000000000.bb08.l.png,1472823534.4041290283203125000000000.bb08.r.png
7757730.591,-363561.675,0.659,2.246,1472823534.5768320560455322265625000,1472823534.5768320560455322265625000.bb08.l.png,1472823534.5768320560455322265625000.bb08.r.png
7757731.051,-363561.318,0.659,2.246,1472823534.8362150192260742187500000,1472823534.8362150192260742187500000.bb08.l.png,1472823534.8362150192260742187500000.bb08.r.png
7757731.357,-363561.092,0.662,2.720,1472823535.0061058998107910156250000,1472823535.0061058998107910156250000.bb08.l.png,1472823535.0061058998107910156250000.bb08.r.png
7757731.541,-363560.949,0.662,2.720,1472823535.0915780067443847656250000,1472823535.0915780067443847656250000.bb08.l.png,1472823535.0915780067443847656250000.bb08.r.png
7757732.206,-363560.433,0.661,3.045,1472823535.3452420234680175781250000,1472823535.3452420234680175781250000.bb08.l.png,1472823535.3452420234680175781250000.bb08.r.png
7757732.836,-363559.943,0.661,3.045,1472823535.6072649955749511718750000,1472823535.6072649955749511718750000.bb08.l.png,1472823535.6072649955749511718750000.bb08.r.png
7757733.360,-363559.571,0.665,3.501,1472823535.7848310470581054687500000,1472823535.7848310470581054687500000.bb08.l.png,1472823535.7848310470581054687500000.bb08.r.png
7757733.843,-363559.193,0.665,3.501,1472823535.9601850509643554687500000,1472823535.9601850509643554687500000.bb08.l.png,1472823535.9601850509643554687500000.bb08.r.png
7757734.390,-363558.784,0.669,3.818,1472823536.1352119445800781250000000,1472823536.1352119445800781250000000.bb08.l.png,1472823536.1352119445800781250000000.bb08.r.png
7757735.207,-363558.159,0.671,4.035,1472823536.3935899734497070312500000,1472823536.3935899734497070312500000.bb08.l.png,1472823536.3935899734497070312500000.bb08.r.png
7757735.751,-363557.750,0.675,4.195,1472823536.5630168914794921875000000,1472823536.5630168914794921875000000.bb08.l.png,1472823536.5630168914794921875000000.bb08.r.png
7757736.323,-363557.297,0.678,4.492,1472823536.7316319942474365234375000,1472823536.7316319942474365234375000.bb08.l.png,1472823536.7316319942474365234375000.bb08.r.png
7757736.907,-363556.826,0.678,4.492,1472823536.8985950946807861328125000,1472823536.8985950946807861328125000.bb08.l.png,1472823536.8985950946807861328125000.bb08.r.png
7757737.120,-363556.657,0.684,4.635,1472823536.9839210510253906250000000,1472823536.9839210510253906250000000.bb08.l.png,1472823536.9839210510253906250000000.bb08.r.png
7757737.730,-363556.165,0.684,4.631,1472823537.1582438945770263671875000,1472823537.1582438945770263671875000.bb08.l.png,1472823537.1582438945770263671875000.bb08.r.png
7757738.361,-363555.650,0.684,4.827,1472823537.3362569808959960937500000,1472823537.3362569808959960937500000.bb08.l.png,1472823537.3362569808959960937500000.bb08.r.png
7757739.007,-363555.124,0.684,4.827,1472823537.5088310241699218750000000,1472823537.5088310241699218750000000.bb08.l.png,1472823537.5088310241699218750000000.bb08.r.png
7757739.469,-363554.761,0.681,5.003,1472823537.6906061172485351562500000,1472823537.6906061172485351562500000.bb08.l.png,1472823537.6906061172485351562500000.bb08.r.png
7757740.112,-363554.234,0.682,5.093,1472823537.8882889747619628906250000,1472823537.8882889747619628906250000.bb08.l.png,1472823537.8882889747619628906250000.bb08.r.png
7757741.110,-363553.425,0.682,5.093,1472823538.1403920650482177734375000,1472823538.1403920650482177734375000.bb08.l.png,1472823538.1403920650482177734375000.bb08.r.png
