timestamp 1655648232.202233, valid 1, tt 5.63759704, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.44849909
timestamp 1655648232.397089, valid 1, tt 5.49992914, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.24636188
timestamp 1655648232.576996, valid 1, tt 5.35412788, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.60891684
timestamp 1655648232.675468, valid 1, tt 5.12502387, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.18335166
timestamp 1655648232.753974, valid 1, tt 5.01923122, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.28136283
timestamp 1655648232.868882, valid 1, tt 5.02133385, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.58717776
timestamp 1655648232.950278, valid 1, tt 4.84416850, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.27217673
timestamp 1655648233.046495, valid 1, tt 4.76861597, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.48822673
timestamp 1655648233.125203, valid 1, tt 4.70988986, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.18059288
timestamp 1655648233.234215, valid 1, tt 4.55872055, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.26569050
timestamp 1655648233.298522, valid 1, tt 4.50782008, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.48473124
timestamp 1655648233.373047, valid 1, tt 4.42727838, a 0.40000000, vf 0.00000000, sf 0.00000000, s 20.04741227
timestamp 1655648233.399141, valid 1, tt 4.45230746, a 0.39680418, vf 0.00000000, sf 0.00000000, s 20.77737345
timestamp 1655648233.460035, valid 1, tt 4.37406746, a 0.38865077, vf 0.00000000, sf 0.00000000, s 20.55815061
timestamp 1655648233.519554, valid 1, tt 4.29790191, a 0.38060445, vf 0.00000000, sf 0.00000000, s 20.33810034
timestamp 1655648233.574617, valid 1, tt 4.31326391, a 0.36380309, vf 0.00000000, sf 0.00000000, s 20.55447369
timestamp 1655648233.637083, valid 1, tt 4.23932324, a 0.35446560, vf 0.00000000, sf 0.00000000, s 20.34304062
timestamp 1655648233.696880, valid 1, tt 4.24237804, a 0.33862259, vf 0.00000000, sf 0.00000000, s 20.49797216
timestamp 1655648233.744991, valid 1, tt 4.16546403, a 0.32893793, vf 0.00000000, sf 0.00000000, s 20.26460943
timestamp 1655648233.806267, valid 1, tt 4.17304824, a 0.31254262, vf 0.00000000, sf 0.00000000, s 20.43905730
timestamp 1655648233.883317, valid 1, tt 4.10382477, a 0.30171463, vf 0.00000000, sf 0.00000000, s 20.23558244
timestamp 1655648233.926538, valid 1, tt 4.19599974, a 0.27948520, vf 0.00000000, sf 0.00000000, s 20.82743250
timestamp 1655648234.002006, valid 1, tt 4.12053335, a 0.26842543, vf 0.00000000, sf 0.00000000, s 20.59018995
timestamp 1655648234.072552, valid 1, tt 4.11042815, a 0.24585196, vf 0.00000000, sf 0.00000000, s 20.73596566
timestamp 1655648234.123676, valid 1, tt 4.01534945, a 0.22687905, vf 0.00000000, sf 0.00000000, s 20.45620048
timestamp 1655648234.158323, valid 1, tt 4.04281416, a 0.22533775, vf 0.00000000, sf 0.00000000, s 20.59611943
timestamp 1655648234.191169, valid 1, tt 3.97107466, a 0.21231731, vf 0.00000000, sf 0.00000000, s 20.36540242
timestamp 1655648234.247641, valid 1, tt 3.97346224, a 0.19599292, vf 0.00000000, sf 0.00000000, s 20.50550792
timestamp 1655648234.328187, valid 1, tt 3.89541313, a 0.18322566, vf 0.00000000, sf 0.00000000, s 20.22938751
timestamp 1655648234.344200, valid 1, tt 3.98431271, a 0.16402909, vf 0.00000000, sf 0.00000000, s 20.81097538
timestamp 1655648234.410503, valid 1, tt 3.90922189, a 0.15027712, vf 0.00000000, sf 0.00000000, s 20.54791286
timestamp 1655648234.450141, valid 1, tt 3.82535356, a 0.13699943, vf 0.00000000, sf 0.00000000, s 20.22833331
timestamp 1655648234.494632, valid 1, tt 3.82948307, a 0.12043959, vf 0.00000000, sf 0.00000000, s 20.37051131
timestamp 1655648234.570870, valid 1, tt 3.82653903, a 0.10399714, vf 0.00000000, sf 0.00000000, s 20.47590771
timestamp 1655648234.613009, valid 1, tt 3.90977792, a 0.08597292, vf 0.00000000, sf 0.00000000, s 21.04216077
timestamp 1655648234.720348, valid 1, tt 3.92090907, a 0.07018359, vf 0.00000000, sf 0.00000000, s 21.22156063
timestamp 1655648234.766805, valid 1, tt 4.06217668, a 0.05388891, vf 0.00000000, sf 0.00000000, s 22.10046259
timestamp 1655648234.784385, valid 1, tt 3.99548858, a 0.04023205, vf 0.00000000, sf 0.00000000, s 21.85383079
timestamp 1655648234.909932, valid 1, tt 3.99054622, a 0.02502201, vf 0.00000000, sf 0.00000000, s 21.94830053
timestamp 1655648234.994319, valid 1, tt 4.05197395, a 0.00502301, vf 0.00000000, sf 0.00000000, s 22.44722030
timestamp 1655648235.103888, valid 1, tt 3.91920927, a -0.01487478, vf 0.00000000, sf 0.00000000, s 21.86585123
timestamp 1655648235.156664, valid 1, tt 4.05637699, a -0.03888900, vf 0.00000000, sf 0.00000000, s 22.83283587
timestamp 1655648235.196457, valid 1, tt 4.05977345, a -0.04977503, vf 0.00000000, sf 0.00000000, s 22.94193272
timestamp 1655648235.227269, valid 1, tt 4.12575655, a -0.05865257, vf 0.00000000, sf 0.00000000, s 23.39713700
timestamp 1655648235.293237, valid 1, tt 4.13341780, a -0.06730732, vf 0.00000000, sf 0.00000000, s 23.51544633
timestamp 1655648235.335391, valid 1, tt 4.13263357, a -0.07527111, vf 0.00000000, sf 0.00000000, s 23.57888111
timestamp 1655648235.427915, valid 1, tt 4.13568811, a -0.08238093, vf 0.00000000, sf 0.00000000, s 23.65758726
timestamp 1655648235.533063, valid 1, tt 4.14478724, a -0.08860633, vf 0.00000000, sf 0.00000000, s 23.76466484
timestamp 1655648235.573780, valid 1, tt 4.21078897, a -0.09536355, vf 0.00000000, sf 0.00000000, s 24.21531214
timestamp 1655648235.630030, valid 1, tt 4.13858537, a -0.10166348, vf 0.00000000, sf 0.00000000, s 23.83978918
timestamp 1655648235.666274, valid 1, tt 4.21018133, a -0.10385639, vf 0.00000000, sf 0.00000000, s 24.28696615
