-40.30079013151857;-20.27502106333966;5.5
-40.30063813586277;-20.27383112734342;5.5
-40.30105323512943;-20.27146833098152;5.5
-40.30044215003778;-20.26954395191845;5.5
-40.29815816989407;-20.26722615557902;5.5
-40.29787822800943;-20.26663896293791;5.5
-40.29723939646691;-20.26591502707123;5.5
-40.29055700000008;-20.26984599999987;5.5
-40.28731183286434;-20.27169856079771;5.5
-40.28205875681414;-20.27535997965866;5.5
-40.28557792042928;-20.27752683960695;5.5
-40.28676000000009;-20.27861299999998;5.5
-40.28828391796041;-20.2806530136766;5.5
-40.28902141532088;-20.2818883056307;5.5
-40.29227927007556;-20.28007168961773;5.5
-40.29454831298441;-20.27901831095662;2.5
-40.29575299999982;-20.27981799999998;5.5
-40.30103864808088;-20.2792333093311;2.5
-40.30107899999999;-20.27873399999997;5.5
-40.3009825749735;-20.2772710580129;5.5
-40.30062499999998;-20.275029;5.5
-40.30060000000002;-20.27414100000001;5.5
