STEERING (cc, dc, e, i, d, s): -0.029649, 0.000000, 0.029649, 0.041089, -0.064961, 7.073795, 1717610117.161496
STEERING (cc, dc, e, i, d, s): -0.029985, 0.000000, 0.029985, 0.041838, 0.013420, 7.182329, 1717610117.186501
STEERING (cc, dc, e, i, d, s): -0.029314, 0.000000, 0.029314, 0.042573, -0.026791, 7.188650, 1717610117.211552
STEERING (cc, dc, e, i, d, s): -0.027396, 0.000000, 0.027396, 0.043257, -0.076715, 7.065377, 1717610117.236547
STEERING (cc, dc, e, i, d, s): -0.020589, 0.000000, 0.020589, 0.043773, -0.271580, 6.436269, 1717610117.261612
STEERING (cc, dc, e, i, d, s): -0.021212, 0.000000, 0.021212, 0.044305, 0.024878, 6.551726, 1717610117.286662
STEERING (cc, dc, e, i, d, s): -0.021212, 0.000000, 0.021212, 0.044836, 0.000000, 6.604873, 1717610117.311717
STEERING (cc, dc, e, i, d, s): -0.021548, 0.000000, 0.021548, 0.045482, 0.011198, 6.703000, 1717610117.341683
STEERING (cc, dc, e, i, d, s): -0.021548, 0.000000, 0.021548, 0.046129, 0.000000, 6.767693, 1717610117.371706
STEERING (cc, dc, e, i, d, s): -0.020925, 0.000000, 0.020925, 0.046652, -0.024922, 6.757697, 1717610117.396711
STEERING (cc, dc, e, i, d, s): -0.021212, 0.000000, 0.021212, 0.047288, 0.009602, 6.850003, 1717610117.426667
STEERING (cc, dc, e, i, d, s): -0.020925, 0.000000, 0.020925, 0.047915, -0.009591, 6.883990, 1717610117.456655
STEERING (cc, dc, e, i, d, s): -0.021884, 0.000000, 0.021884, 0.048573, 0.031894, 7.045649, 1717610117.486716
STEERING (cc, dc, e, i, d, s): -0.021212, 0.000000, 0.021212, 0.049207, -0.022439, 7.041981, 1717610117.516625
STEERING (cc, dc, e, i, d, s): -0.020925, 0.000000, 0.020925, 0.049836, -0.009575, 7.076076, 1717610117.546665
STEERING (cc, dc, e, i, d, s): -0.021548, 0.000000, 0.021548, 0.050375, 0.024891, 7.192345, 1717610117.571702
STEERING (cc, dc, e, i, d, s): -0.021548, 0.000000, 0.021548, 0.050914, 0.000000, 7.246208, 1717610117.596699
STEERING (cc, dc, e, i, d, s): -0.021548, 0.000000, 0.021548, 0.051560, 0.000000, 7.310829, 1717610117.626688
STEERING (cc, dc, e, i, d, s): -0.021548, 0.000000, 0.021548, 0.052100, 0.000000, 7.364787, 1717610117.651729
STEERING (cc, dc, e, i, d, s): -0.020925, 0.000000, 0.020925, 0.052622, -0.024958, 7.354717, 1717610117.676699
STEERING (cc, dc, e, i, d, s): -0.021212, 0.000000, 0.021212, 0.053260, 0.009566, 7.447259, 1717610117.706766
STEERING (cc, dc, e, i, d, s): -0.021212, 0.000000, 0.021212, 0.053790, 0.000000, 7.500207, 1717610117.731727
STEERING (cc, dc, e, i, d, s): -0.021212, 0.000000, 0.021212, 0.054320, 0.000000, 7.553283, 1717610117.756748
STEERING (cc, dc, e, i, d, s): -0.021548, 0.000000, 0.021548, 0.054859, 0.013425, 7.640698, 1717610117.781743
STEERING (cc, dc, e, i, d, s): -0.021212, 0.000000, 0.021212, 0.055391, -0.013389, 7.660307, 1717610117.806806
STEERING (cc, dc, e, i, d, s): -0.020589, 0.000000, 0.020589, 0.055906, -0.024919, 7.649479, 1717610117.831815
STEERING (cc, dc, e, i, d, s): -0.021548, 0.000000, 0.021548, 0.056444, 0.038367, 7.799200, 1717610117.856804
STEERING (cc, dc, e, i, d, s): -0.020925, 0.000000, 0.020925, 0.056968, -0.024877, 7.789300, 1717610117.881855
STEERING (cc, dc, e, i, d, s): -0.021548, 0.000000, 0.021548, 0.057508, 0.024895, 7.905560, 1717610117.906888
STEERING (cc, dc, e, i, d, s): -0.021548, 0.000000, 0.021548, 0.058047, 0.000000, 7.959525, 1717610117.931932
STEERING (cc, dc, e, i, d, s): -0.020589, 0.000000, 0.020589, 0.058563, -0.038309, 7.915178, 1717610117.956959
STEERING (cc, dc, e, i, d, s): -0.021548, 0.000000, 0.021548, 0.059102, 0.038316, 8.064971, 1717610117.981981
STEERING (cc, dc, e, i, d, s): -0.021212, 0.000000, 0.021212, 0.059633, -0.013404, 8.084520, 1717610118.007016
STEERING (cc, dc, e, i, d, s): -0.021548, 0.000000, 0.021548, 0.060172, 0.013398, 8.172045, 1717610118.032062
STEERING (cc, dc, e, i, d, s): -0.021212, 0.000000, 0.021212, 0.060704, -0.013395, 8.191628, 1717610118.057113
STEERING (cc, dc, e, i, d, s): -0.020925, 0.000000, 0.020925, 0.061229, -0.011469, 8.215343, 1717610118.082192
STEERING (cc, dc, e, i, d, s): -0.021548, 0.000000, 0.021548, 0.061768, 0.024918, 8.331551, 1717610118.107201
STEERING (cc, dc, e, i, d, s): -0.021212, 0.000000, 0.021212, 0.062299, -0.013397, 8.351128, 1717610118.132249
STEERING (cc, dc, e, i, d, s): -0.021212, 0.000000, 0.021212, 0.062829, 0.000000, 8.404169, 1717610118.157254
STEERING (cc, dc, e, i, d, s): -0.021884, 0.000000, 0.021884, 0.063376, 0.026841, 8.525999, 1717610118.182258
STEERING (cc, dc, e, i, d, s): -0.020925, 0.000000, 0.020925, 0.063902, -0.038180, 8.482669, 1717610118.207369
STEERING (cc, dc, e, i, d, s): -0.020254, 0.000000, 0.020254, 0.064408, -0.026857, 8.466167, 1717610118.232358
STEERING (cc, dc, e, i, d, s): -0.021212, 0.000000, 0.021212, 0.064939, 0.038280, 8.615172, 1717610118.257404
STEERING (cc, dc, e, i, d, s): -0.020589, 0.000000, 0.020589, 0.065455, -0.024896, 8.604391, 1717610118.282436
STEERING (cc, dc, e, i, d, s): -0.021212, 0.000000, 0.021212, 0.065985, 0.024906, 8.719788, 1717610118.307458
STEERING (cc, dc, e, i, d, s): -0.020925, 0.000000, 0.020925, 0.066509, -0.011493, 8.743394, 1717610118.332485
STEERING (cc, dc, e, i, d, s): -0.020589, 0.000000, 0.020589, 0.067025, -0.013389, 8.761438, 1717610118.357547
STEERING (cc, dc, e, i, d, s): -0.020589, 0.000000, 0.020589, 0.067540, 0.000000, 8.812934, 1717610118.382558
STEERING (cc, dc, e, i, d, s): -0.021212, 0.000000, 0.021212, 0.068072, 0.024860, 8.928428, 1717610118.407626
STEERING (cc, dc, e, i, d, s): -0.021548, 0.000000, 0.021548, 0.068611, 0.013424, 9.015850, 1717610118.432624
STEERING (cc, dc, e, i, d, s): -0.020589, 0.000000, 0.020589, 0.069126, -0.038272, 8.971553, 1717610118.457675
STEERING (cc, dc, e, i, d, s): -0.021212, 0.000000, 0.021212, 0.069657, 0.024897, 9.086969, 1717610118.482706
STEERING (cc, dc, e, i, d, s): -0.019295, 0.000000, 0.019295, 0.070139, -0.076743, 8.943428, 1717610118.507692
STEERING (cc, dc, e, i, d, s): -0.018336, 0.000000, 0.018336, 0.070598, -0.038330, 8.893417, 1717610118.532705
STEERING (cc, dc, e, i, d, s): -0.016371, 0.000000, 0.016371, 0.071008, -0.078445, 8.737890, 1717610118.557760
STEERING (cc, dc, e, i, d, s): -0.012823, 0.000000, 0.012823, 0.071329, -0.141998, 8.415186, 1717610118.582742
STEERING (cc, dc, e, i, d, s): -0.011865, 0.000000, 0.011865, 0.071626, -0.038206, 8.349084, 1717610118.607836
STEERING (cc, dc, e, i, d, s): -0.011193, 0.000000, 0.011193, 0.071906, -0.026881, 8.309918, 1717610118.632803
STEERING (cc, dc, e, i, d, s): -0.011865, 0.000000, 0.011865, 0.072203, 0.026829, 8.406710, 1717610118.657818
STEERING (cc, dc, e, i, d, s): -0.011865, 0.000000, 0.011865, 0.072499, 0.000000, 8.436402, 1717610118.682844
STEERING (cc, dc, e, i, d, s): -0.011529, 0.000000, 0.011529, 0.072788, -0.013387, 8.431744, 1717610118.707910
STEERING (cc, dc, e, i, d, s): -0.011529, 0.000000, 0.011529, 0.073077, 0.000000, 8.460596, 1717610118.732935
STEERING (cc, dc, e, i, d, s): -0.011865, 0.000000, 0.011865, 0.073374, 0.013390, 8.523886, 1717610118.757996
STEERING (cc, dc, e, i, d, s): -0.010858, 0.000000, 0.010858, 0.073645, -0.040318, 8.450328, 1717610118.782965
STEERING (cc, dc, e, i, d, s): -0.011529, 0.000000, 0.011529, 0.073934, 0.026817, 8.546293, 1717610118.807991
STEERING (cc, dc, e, i, d, s): -0.011529, 0.000000, 0.011529, 0.074223, 0.000000, 8.575185, 1717610118.833051
STEERING (cc, dc, e, i, d, s): -0.011193, 0.000000, 0.011193, 0.074504, -0.013362, 8.569738, 1717610118.858164
STEERING (cc, dc, e, i, d, s): -0.011529, 0.000000, 0.011529, 0.074793, 0.013401, 8.632163, 1717610118.883204
STEERING (cc, dc, e, i, d, s): -0.011193, 0.000000, 0.011193, 0.075072, -0.013446, 8.626541, 1717610118.908160
STEERING (cc, dc, e, i, d, s): -0.011529, 0.000000, 0.011529, 0.075418, 0.011179, 8.694705, 1717610118.938178
STEERING (cc, dc, e, i, d, s): -0.011529, 0.000000, 0.011529, 0.075708, 0.000000, 8.723662, 1717610118.963294
STEERING (cc, dc, e, i, d, s): -0.011529, 0.000000, 0.011529, 0.075995, 0.000000, 8.752441, 1717610118.988257
STEERING (cc, dc, e, i, d, s): -0.011529, 0.000000, 0.011529, 0.076285, 0.000000, 8.781377, 1717610119.013355
STEERING (cc, dc, e, i, d, s): -0.011865, 0.000000, 0.011865, 0.076581, 0.013426, 8.844586, 1717610119.038348
STEERING (cc, dc, e, i, d, s): -0.011193, 0.000000, 0.011193, 0.076861, -0.026819, 8.805484, 1717610119.063372
STEERING (cc, dc, e, i, d, s): -0.012152, 0.000000, 0.012152, 0.077166, 0.038245, 8.931824, 1717610119.088441
STEERING (cc, dc, e, i, d, s): -0.011865, 0.000000, 0.011865, 0.077464, -0.011471, 8.932810, 1717610119.113515
STEERING (cc, dc, e, i, d, s): -0.011193, 0.000000, 0.011193, 0.077744, -0.026740, 8.893791, 1717610119.138613
STEERING (cc, dc, e, i, d, s): -0.010858, 0.000000, 0.010858, 0.078015, -0.013461, 8.887301, 1717610119.163541
STEERING (cc, dc, e, i, d, s): -0.010858, 0.000000, 0.010858, 0.078288, 0.000000, 8.914560, 1717610119.188646
STEERING (cc, dc, e, i, d, s): -0.011529, 0.000000, 0.011529, 0.078577, 0.026752, 9.010595, 1717610119.213733
STEERING (cc, dc, e, i, d, s): -0.010858, 0.000000, 0.010858, 0.078847, -0.026943, 8.970529, 1717610119.238642
STEERING (cc, dc, e, i, d, s): -0.011193, 0.000000, 0.011193, 0.079127, 0.013421, 9.032072, 1717610119.263645
STEERING (cc, dc, e, i, d, s): -0.011193, 0.000000, 0.011193, 0.079407, 0.000000, 9.060075, 1717610119.288663
STEERING (cc, dc, e, i, d, s): -0.011529, 0.000000, 0.011529, 0.079696, 0.013382, 9.122542, 1717610119.313739
STEERING (cc, dc, e, i, d, s): -0.011193, 0.000000, 0.011193, 0.079976, -0.013416, 9.116984, 1717610119.338752
STEERING (cc, dc, e, i, d, s): -0.011529, 0.000000, 0.011529, 0.080265, 0.013388, 9.179438, 1717610119.363817
STEERING (cc, dc, e, i, d, s): -0.011529, 0.000000, 0.011529, 0.080553, 0.000000, 9.208223, 1717610119.388785
STEERING (cc, dc, e, i, d, s): -0.011529, 0.000000, 0.011529, 0.080842, 0.000000, 9.237085, 1717610119.413819
STEERING (cc, dc, e, i, d, s): -0.011529, 0.000000, 0.011529, 0.081130, 0.000000, 9.265939, 1717610119.438846
STEERING (cc, dc, e, i, d, s): -0.011193, 0.000000, 0.011193, 0.081411, -0.013406, 9.260400, 1717610119.463877
STEERING (cc, dc, e, i, d, s): -0.011529, 0.000000, 0.011529, 0.081699, 0.013403, 9.322822, 1717610119.488914
STEERING (cc, dc, e, i, d, s): -0.011193, 0.000000, 0.011193, 0.081979, -0.013412, 9.317272, 1717610119.513934
STEERING (cc, dc, e, i, d, s): -0.011529, 0.000000, 0.011529, 0.082268, 0.013398, 9.379704, 1717610119.538980
STEERING (cc, dc, e, i, d, s): -0.010858, 0.000000, 0.010858, 0.082540, -0.026842, 9.339739, 1717610119.563983
STEERING (cc, dc, e, i, d, s): -0.011193, 0.000000, 0.011193, 0.082819, 0.013419, 9.401287, 1717610119.588990
STEERING (cc, dc, e, i, d, s): -0.011193, 0.000000, 0.011193, 0.083100, 0.000000, 9.429372, 1717610119.614081
STEERING (cc, dc, e, i, d, s): -0.011529, 0.000000, 0.011529, 0.083389, 0.013383, 9.491836, 1717610119.639155
STEERING (cc, dc, e, i, d, s): -0.011529, 0.000000, 0.011529, 0.083678, 0.000000, 9.520723, 1717610119.664211
STEERING (cc, dc, e, i, d, s): -0.011193, 0.000000, 0.011193, 0.083958, -0.013426, 9.515144, 1717610119.689205
STEERING (cc, dc, e, i, d, s): -0.011865, 0.000000, 0.011865, 0.084255, 0.026833, 9.611931, 1717610119.714216
STEERING (cc, dc, e, i, d, s): -0.010858, 0.000000, 0.010858, 0.084528, -0.039946, 9.538625, 1717610119.739417
STEERING (cc, dc, e, i, d, s): -0.011193, 0.000000, 0.011193, 0.084810, 0.013358, 9.600300, 1717610119.764538
STEERING (cc, dc, e, i, d, s): -0.010858, 0.000000, 0.010858, 0.085082, -0.013395, 9.593944, 1717610119.789589
STEERING (cc, dc, e, i, d, s): -0.011193, 0.000000, 0.011193, 0.085363, 0.013329, 9.655681, 1717610119.814765
STEERING (cc, dc, e, i, d, s): -0.011193, 0.000000, 0.011193, 0.085643, 0.000000, 9.683622, 1717610119.839727
STEERING (cc, dc, e, i, d, s): -0.011529, 0.000000, 0.011529, 0.085932, 0.013359, 9.746138, 1717610119.864846
STEERING (cc, dc, e, i, d, s): -0.011529, 0.000000, 0.011529, 0.086220, 0.000000, 9.774888, 1717610119.889783
STEERING (cc, dc, e, i, d, s): -0.010235, 0.000000, 0.010235, 0.086476, -0.051706, 9.671076, 1717610119.914815
STEERING (cc, dc, e, i, d, s): -0.011529, 0.000000, 0.011529, 0.086765, 0.051679, 9.829382, 1717610119.939860
